Continent,Country,2016 GDP,Gold,Silver,Bronze,Total,Medal Points,2016 GDP (Billions),2016 GDP (log),2016 GDP (log billions)
Europe,Croatia,"$108,000,000,000",5,3,2,10,23,108.00,11.03,2.03
North America,Haiti,"$33,782,654,843",0,0,0,0,0,33.78,10.53,1.53
Europe,Hungary,"$277,000,000,000",8,3,4,15,34,277.00,11.44,2.44
Asia,Indonesia,"$2,750,000,000,000",1,2,0,3,7,2750.00,12.44,3.44
Asia,India,"$7,750,000,000,000",0,1,1,2,3,7750.00,12.89,3.89
Europe,Ireland,"$343,000,000,000",0,2,0,2,4,343.00,11.54,2.54
Asia,Iran,"$1,130,000,000,000",3,1,4,8,15,1130.00,12.05,3.05
Asia,Iraq,"$403,000,000,000",0,0,0,0,0,403.00,11.61,2.61
Europe,Iceland,"$18,337,029,182",0,0,0,0,0,18.34,10.26,1.26
Asia,Israel,"$327,000,000,000",0,0,2,2,2,327.00,11.51,2.51
Europe,Italy,"$2,480,000,000,000",8,12,8,28,56,2480.00,12.39,3.39
North America,Jamaica,"$27,763,609,394",6,3,2,11,26,27.76,10.44,1.44
Asia,Jordan,"$95,892,008,153",1,0,0,1,3,95.89,10.98,1.98
Asia,Japan,"$5,180,000,000,000",12,8,21,41,73,5180.00,12.71,3.71
Asia,Kazakhstan,"$431,000,000,000",3,5,9,17,28,431.00,11.63,2.63
Africa,Kenya,"$203,000,000,000",6,6,1,13,31,203.00,11.31,2.31
Asia,Kyrgyzstan,"$29,864,829,313",0,0,0,0,0,29.86,10.48,1.48
Asia,Cambodia,"$58,778,299,696",0,0,0,0,0,58.78,10.77,1.77
Oceania,Kiribati,"$252,961,954",0,0,0,0,0,0.25,8.40,-0.60
North America,Saint Kitts and Nevis,"$1,391,559,699",0,0,0,0,0,1.39,9.14,0.14
Asia,Republic of Korea,"$2,040,000,000,000",9,3,9,21,42,2040.00,12.31,3.31
Asia,Kuwait,"$216,000,000,000",0,0,0,0,0,216.00,11.33,2.33
Asia,Laos,"$47,209,839,790",0,0,0,0,0,47.21,10.67,1.67
Asia,Lebanon,"$109,000,000,000",0,0,0,0,0,109.00,11.04,2.04
Africa,Liberia,"$7,178,953,380",0,0,0,0,0,7.18,9.86,0.86
Africa,Libya,"$68,767,756,473",0,0,0,0,0,68.77,10.84,1.84
North America,Saint Lucia,"$2,609,973,113",0,0,0,0,0,2.61,9.42,0.42
Asia,Sri Lanka,"$261,000,000,000",0,0,0,0,0,261.00,11.42,2.42
Africa,Lesotho,"$5,761,851,388",0,0,0,0,0,5.76,9.76,0.76
Europe,Lithuania,"$91,570,579,073",0,1,3,4,5,91.57,10.96,1.96
Europe,Luxembourg,"$67,678,741,186",0,0,0,0,0,67.68,10.83,1.83
Europe,Latvia,"$53,905,242,557",0,0,0,0,0,53.91,10.73,1.73
Africa,Morocco,"$253,000,000,000",0,0,1,1,1,253.00,11.40,2.40
Europe,Republic of Moldova,"$30,662,887,782",0,0,1,1,1,30.66,10.49,1.49
Africa,Madagascar,"$38,981,290,521",0,0,0,0,0,38.98,10.59,1.59
Asia,Maldives,"$8,361,084,210",0,0,0,0,0,8.36,9.92,0.92
North America,Mexico,"$2,410,000,000,000",0,3,2,5,8,2410.00,12.38,3.38
Oceania,Marshall Islands,"$208,702,703",0,0,0,0,0,0.21,8.32,-0.68
Europe,North Macedonia,"$32,234,383,514",0,0,0,0,0,32.23,10.51,1.51
Africa,Mali,"$39,498,122,203",0,0,0,0,0,39.50,10.60,1.60
Europe,Malta,"$18,458,637,843",0,0,0,0,0,18.46,10.27,1.27
Asia,Myanmar,"$213,000,000,000",0,0,0,0,0,213.00,11.33,2.33
Europe,Montenegro,"$11,697,990,094",0,0,0,0,0,11.70,10.07,1.07
Asia,Mongolia,"$33,503,698,721",0,1,1,2,3,33.50,10.53,1.53
Africa,Mozambique,"$35,449,309,349",0,0,0,0,0,35.45,10.55,1.55
Africa,Mauritania,"$20,586,871,383",0,0,0,0,0,20.59,10.31,1.31
Africa,Mauritius,"$26,086,842,380",0,0,0,0,0,26.09,10.42,1.42
Africa,Malawi,"$25,012,607,363",0,0,0,0,0,25.01,10.40,1.40
Asia,Malaysia,"$784,000,000,000",0,4,1,5,9,784.00,11.89,2.89
Africa,Namibia,"$24,691,737,303",0,0,0,0,0,24.69,10.39,1.39
Africa,Niger,"$23,931,559,623",0,1,0,1,2,23.93,10.38,1.38
Africa,Nigeria,"$983,000,000,000",0,0,1,1,1,983.00,11.99,2.99
North America,Nicaragua,"$36,637,445,219",0,0,0,0,0,36.64,10.56,1.56
Europe,Netherlands,"$917,000,000,000",8,7,4,19,42,917.00,11.96,2.96
Europe,Norway,"$330,000,000,000",0,0,4,4,4,330.00,11.52,2.52
Asia,Nepal,"$90,400,474,173",0,0,0,0,0,90.40,10.96,1.96
Oceania,Nauru,"$145,609,062",0,0,0,0,0,0.15,8.16,-0.84
Oceania,New Zealand,"$196,000,000,000",4,9,5,18,35,196.00,11.29,2.29
Asia,Oman,"$136,000,000,000",0,0,0,0,0,136.00,11.13,2.13
Asia,Pakistan,"$900,000,000,000",0,0,0,0,0,900.00,11.95,2.95
North America,Panama,"$118,000,000,000",0,0,0,0,0,118.00,11.07,2.07
South America,Peru,"$384,000,000,000",0,0,0,0,0,384.00,11.58,2.58
Asia,Philippines,"$799,000,000,000",0,1,0,1,2,799.00,11.90,2.90
Oceania,Palau,"$327,221,190",0,0,0,0,0,0.33,8.51,-0.49
Oceania,Papua New Guinea,"$34,927,738,672",0,0,0,0,0,34.93,10.54,1.54
Europe,Poland,"$1,090,000,000,000",2,3,6,11,18,1090.00,12.04,3.04
North America,Puerto Rico,"$118,000,000,000",1,0,0,1,3,118.00,11.07,2.07
Europe,Portugal,"$329,000,000,000",0,0,1,1,1,329.00,11.52,2.52
South America,Paraguay,"$82,492,091,752",0,0,0,0,0,82.49,10.92,1.92
Asia,Palestine,"$28,119,389,833",0,0,0,0,0,28.12,10.45,1.45
Asia,Qatar,"$254,000,000,000",0,1,0,1,2,254.00,11.40,2.40
Europe,Romania,"$495,000,000,000",1,1,3,5,8,495.00,11.69,2.69
Europe,Russian Federation,"$3,740,000,000,000",19,18,19,56,112,3740.00,12.57,3.57
Africa,Rwanda,"$22,760,357,451",0,0,0,0,0,22.76,10.36,1.36
Asia,Saudi Arabia,"$1,580,000,000,000",0,0,0,0,0,1580.00,12.20,3.20
Africa,Sudan,"$186,000,000,000",0,0,0,0,0,186.00,11.27,2.27
Africa,Senegal,"$45,995,086,774",0,0,0,0,0,46.00,10.66,1.66
Asia,Singapore,"$512,000,000,000",1,0,0,1,3,512.00,11.71,2.71
Oceania,Solomon Islands,"$1,608,399,223",0,0,0,0,0,1.61,9.21,0.21
Africa,Sierra Leone,"$11,741,786,062",0,0,0,0,0,11.74,10.07,1.07
North America,El Salvador,"$52,818,867,866",0,0,0,0,0,52.82,10.72,1.72
Europe,San Marino,"$1,977,005,285",0,0,0,0,0,1.98,9.30,0.30
Africa,Somalia,"$12,461,863,365",0,0,0,0,0,12.46,10.10,1.10
Europe,Serbia,"$114,000,000,000",2,4,2,8,16,114.00,11.06,2.06
Africa,Sao Tome and Principe,"$788,259,685",0,0,0,0,0,0.79,8.90,-0.10
South America,Suriname,"$10,269,913,345",0,0,0,0,0,10.27,10.01,1.01
Europe,Slovakia,"$159,000,000,000",2,2,0,4,10,159.00,11.20,2.20
Europe,Slovenia,"$71,972,995,814",1,2,1,4,8,71.97,10.86,1.86
Europe,Sweden,"$509,000,000,000",2,6,3,11,21,509.00,11.71,2.71
Africa,Eswatini,"$9,269,570,962",0,0,0,0,0,9.27,9.97,0.97
Africa,Seychelles,"$2,499,036,177",0,0,0,0,0,2.50,9.40,0.40
Africa,Chad,"$24,566,297,102",0,0,0,0,0,24.57,10.39,1.39
Africa,Togo,"$14,845,731,642",0,0,0,0,0,14.85,10.17,1.17
Asia,Thailand,"$1,160,000,000,000",2,2,2,6,12,1160.00,12.06,3.06
Asia,Tajikistan,"$26,971,913,999",1,0,0,1,3,26.97,10.43,1.43
Asia,Turkmenistan,"$76,796,067,931",0,0,0,0,0,76.80,10.89,1.89
Asia,Timor-Leste,"$4,075,606,100",0,0,0,0,0,4.08,9.61,0.61
Oceania,Tonga,"$638,447,619",0,0,0,0,0,0.64,8.81,-0.19
North America,Trinidad and Tobago,"$37,582,478,505",0,0,1,1,1,37.58,10.57,1.57
Africa,Tunisia,"$126,000,000,000",0,0,3,3,3,126.00,11.10,2.10
Europe,Turkey,"$2,110,000,000,000",1,3,4,8,13,2110.00,12.32,3.32
Oceania,Tuvalu,"$42,544,757",0,0,0,0,0,0.04,7.63,-1.37
Africa,Tanzania,"$126,000,000,000",0,0,0,0,0,126.00,11.10,2.10
Africa,Uganda,"$82,813,146,623",0,0,0,0,0,82.81,10.92,1.92
Europe,Ukraine,"$492,000,000,000",2,5,4,11,20,492.00,11.69,2.69
South America,Uruguay,"$77,810,210,427",0,0,0,0,0,77.81,10.89,1.89
North America,United States,"$19,100,000,000,000",46,37,38,121,250,19100.00,13.28,4.28
Asia,Uzbekistan,"$212,000,000,000",4,2,7,13,23,212.00,11.33,2.33
North America,Saint Vincent and the Grenadines,"$1,331,521,060",0,0,0,0,0,1.33,9.12,0.12
Asia,Vietnam,"$634,000,000,000",1,1,0,2,5,634.00,11.80,2.80
Oceania,Vanuatu,"$827,593,347",0,0,0,0,0,0.83,8.92,-0.08
Oceania,Samoa,"$1,254,749,878",0,0,0,0,0,1.25,9.10,0.10
Europe,Kosovo,"$17,830,752,782",1,0,0,1,3,17.83,10.25,1.25
Africa,South Africa,"$781,000,000,000",2,6,2,10,20,781.00,11.89,2.89
Africa,Zambia,"$56,746,599,390",0,0,0,0,0,56.75,10.75,1.75
Africa,Zimbabwe,"$51,606,629,079",0,0,0,0,0,51.61,10.71,1.71
