economy,Country,SP.POP.TOTL,NY.GDP.MKTP.PP.KD,Total Population (millions),GDP (billions $),Gold,Silver,Bronze,Total,GDP (bn) / Total_Medals,Year,Continent
MRT,Mauritania,3296237,15891303909,3.3,15.89,0,0,0,0,,2008,Africa
MOZ,Mozambique,22276596,21347292692,22.28,21.35,0,0,0,0,,2008,Africa
MNG,Mongolia,2631899,19349268104,2.63,19.35,2,2,0,4,4.84,2008,Asia
MNE,Montenegro,616969,10729724989,0.62,10.73,0,0,0,0,,2008,Europe
MMR,Myanmar,49929642,1.15E+11,49.93,115.03,0,0,0,0,,2008,Asia
MLT,Malta,409379,13056471285,0.41,13.06,0,0,0,0,,2008,Europe
MLI,Mali,14113578,28400488545,14.11,28.4,0,0,0,0,,2008,Africa
MKD,North Macedonia,2046898,26967557279,2.05,26.97,0,0,0,0,,2008,Europe
MHL,Marshall Islands,56166,184097276.5,0.06,0.18,0,0,0,0,,2008,Oceania
MEX,Mexico,110815272,2.04E+12,110.82,2038.65,2,0,2,4,509.66,2008,North America
MDV,Maldives,343448,5992584545,0.34,5.99,0,0,0,0,,2008,Asia
MDG,Madagascar,19996476,34007928309,20,34.01,0,0,0,0,,2008,Africa
MDA,Moldova,2867964,24302403985,2.87,24.3,0,0,1,1,24.30,2008,Europe
MAR,Morocco,31536807,1.91E+11,31.54,190.51,0,1,1,2,95.26,2008,Africa
LVA,Latvia,2177322,54223144196,2.18,54.22,1,1,1,3,18.07,2008,Europe
LUX,Luxembourg,488650,57736278120,0.49,57.74,0,0,0,0,,2008,Europe
LTU,Lithuania,3198231,85664233657,3.2,85.66,0,3,2,5,17.13,2008,Europe
LSO,Lesotho,1987130,4505323283,1.99,4.51,0,0,0,0,,2008,Africa
LKA,Sri Lanka,19983984,1.65E+11,19.98,165.35,0,0,0,0,,2008,Asia
LCA,St. Lucia,170011,2492911400,0.17,2.49,0,0,0,0,,2008,North America
LBY,Libya,6058740,1.34E+11,6.06,134.08,0,0,0,0,,2008,Africa
LBR,Liberia,3607863,5104570383,3.61,5.1,0,0,0,0,,2008,Africa
LBN,Lebanon,4764745,81145315992,4.76,81.15,0,0,0,0,,2008,Asia
LAO,Lao PDR,6046630,25979247073,6.05,25.98,0,0,0,0,,2008,Asia
KWT,Kuwait,2656010,1.94E+11,2.66,193.95,0,0,0,0,,2008,Asia
KOR,"Korea, Rep.",49054708,1.58E+12,49.05,1583.25,13,11,8,32,49.48,2008,Asia
KNA,St. Kitts and Nevis,48178,1142125706,0.05,1.14,0,0,0,0,,2008,North America
KIR,Kiribati,98760,198200815.1,0.1,0.2,0,0,0,0,,2008,Oceania
KHM,Cambodia,13883835,36662093825,13.88,36.66,0,0,0,0,,2008,Asia
KGZ,Kyrgyz Republic,5318700,22031180061,5.32,22.03,0,1,2,3,7.34,2008,Asia
KEN,Kenya,39791984,1.39E+11,39.79,138.97,6,4,6,16,8.69,2008,Africa
KAZ,Kazakhstan,15776938,3.12E+11,15.78,311.91,2,3,4,9,34.66,2008,Asia
JPN,Japan,128063000,4.97E+12,128.06,4966.44,9,8,8,25,198.66,2008,Asia
JOR,Jordan,6556473,76467463678,6.56,76.47,0,0,0,0,,2008,Asia
JAM,Jamaica,2781869,28133483825,2.78,28.13,5,4,2,11,2.56,2008,North America
ITA,Italy,58826731,2.63E+12,58.83,2625.06,8,9,10,27,97.22,2008,Europe
ISR,Israel,7308800,2.42E+11,7.31,241.52,0,0,1,1,241.52,2008,Asia
ISL,Iceland,317414,16822763466,0.32,16.82,0,1,0,1,16.82,2008,Europe
IRQ,Iraq,28385739,2.32E+11,28.39,232.45,0,0,0,0,,2008,Asia
IRN,"Iran, Islamic Rep.",72120608,9.53E+11,72.12,952.94,1,0,1,2,476.47,2008,Asia
IRL,Ireland,4489544,2.50E+11,4.49,250.12,0,1,2,3,83.37,2008,Europe
IND,India,1200669762,4.47E+12,1200.67,4466.6,1,0,2,3,1488.87,2008,Asia
IDN,Indonesia,235469755,1.80E+12,235.47,1803.13,1,1,4,6,300.52,2008,Asia
HUN,Hungary,10038188,2.59E+11,10.04,259.34,3,5,2,10,25.93,2008,Europe
HTI,Haiti,9646570,28889235768,9.65,28.89,0,0,0,0,,2008,North America
HRV,Croatia,4309705,1.15E+11,4.31,114.94,0,2,3,5,22.99,2008,Europe
HND,Honduras,7980955,39997412335,7.98,40,0,0,0,0,,2008,North America
