,Date,BTC close,ETH close
0,2021-01-01,39371.042969,1225.678101
1,2021-01-08,39187.328125,1218.4530029999999
2,2021-01-15,30825.699219,1121.570923
3,2021-01-22,33466.097656,1332.4921880000002
4,2021-01-29,36926.066406,1594.762695
5,2021-02-05,47909.332031,1783.7979739999998
6,2021-02-12,51679.796875,1937.449219
7,2021-02-19,47093.851563,1475.703735
8,2021-02-26,48561.167969,1541.914307
9,2021-03-05,57805.12109400001,1826.194946
10,2021-03-12,57858.921875,1782.855103
11,2021-03-19,51704.160156,1595.3592529999999
12,2021-03-26,59095.80859400001,1977.276855
13,2021-04-02,58323.953125,2088.57373
14,2021-04-09,63314.01171900001,2519.116211
15,2021-04-16,51762.273438,2403.535156
16,2021-04-23,53555.109375,2756.876953
17,2021-04-30,56396.515625,3490.880371
18,2021-05-07,49716.191406,3715.148438
19,2021-05-14,40782.738281,2784.294189
20,2021-05-21,38436.96875,2736.488525
21,2021-05-28,39208.765625,2855.126465
22,2021-06-04,36702.597656,2471.518555
23,2021-06-11,38053.503906,2372.001953
24,2021-06-18,34662.4375,1988.456299
25,2021-06-25,33572.117188,2113.605469
26,2021-07-02,32877.371094,2120.0263670000004
27,2021-07-09,31780.730469,1911.175659
28,2021-07-16,32313.105469,2025.202759
29,2021-07-23,40008.421875,2380.956787
30,2021-07-30,40869.554688,2827.328857
31,2021-08-06,44428.289063,3043.414307
32,2021-08-13,46717.578125,3182.702148
33,2021-08-20,46942.21875,3100.325439
34,2021-08-27,49327.722656,3790.98999
35,2021-09-03,46391.421875,3427.3400880000004
36,2021-09-10,47783.359375,3571.294922
37,2021-09-17,44895.097656,3155.523682
38,2021-09-24,43790.894531,3001.678955
39,2021-10-01,53805.984375,3587.974854
40,2021-10-08,57321.523438,3786.01416
41,2021-10-15,62210.171875,4054.322754
42,2021-10-22,60622.13671900001,4287.318848
43,2021-10-29,61452.23046900001,4537.324219
44,2021-11-05,64949.960938,4730.384277
45,2021-11-12,56942.13671900001,4000.650879
46,2021-11-19,57274.679688,4274.743164
47,2021-11-26,56477.81640599999,4511.302246
48,2021-12-03,47672.121094,4119.815918
49,2021-12-10,47665.425781,3962.469727
50,2021-12-17,50784.539063,4108.015625
51,2021-12-24,47178.125,3713.852051
52,2021-12-31,47686.8125,3769.697021
