economy,Country,NY.GDP.MKTP.PP.KD,SP.POP.TOTL
ETH,Ethiopia,248972206952.337,112078727.0
SWZ,Eswatini,9934706117.34806,1148133.0
EST,Estonia,48298993283.3426,1326898.0
GNQ,Equatorial Guinea,25089143689.0855,1355982.0
SLV,El Salvador,56637126101.4415,6453550.0
EGY,"Egypt, Arab Rep.",1180890364777.32,100388076.0
ECU,Ecuador,197548961601.146,17373657.0
DOM,Dominican Republic,197735341211.621,10738957.0
DMA,Dominica,888188801.738873,71808.0
DJI,Djibouti,5388410349.65374,973557.0
DNK,Denmark,332362166899.29,5814422.0
CZE,Czech Republic,437344507522.895,10671870.0
CYP,Cyprus,36620365662.2877,1198574.0
CUW,Curacao,3856413798.56453,157441.0
HRV,Croatia,119258615795.461,4065253.0
CIV,Cote d'Ivoire,134048926970.757,25716554.0
CRI,Costa Rica,105683501430.287,5047561.0
COG,"Congo, Rep.",20584202113.7423,5380504.0
COD,"Congo, Dem. Rep.",95291603468.5568,86790568.0
COM,Comoros,2602720901.54675,850891.0
COL,Colombia,734216003375.843,50339443.0
CHN,China,22492450166618.6,1407745000.0
CHL,Chile,473186454051.025,18952035.0
TCD,Chad,25190111030.9707,15946882.0
CAF,Central African Republic,4484868174.12315,4745179.0
CYM,Cayman Islands,4782361653.31389,64948.0
CAN,Canada,1842329312225.77,37593384.0
CMR,Cameroon,96851610488.4449,25876387.0
KHM,Cambodia,72356150509.8081,16486542.0
CPV,Cabo Verde,3944045536.725,549936.0
BDI,Burundi,8667121391.54336,11530577.0
BFA,Burkina Faso,44209263811.574,20321383.0
BGR,Bulgaria,162297149325.232,6975761.0
BRN,Brunei Darussalam,26906819938.6988,433296.0
BRA,Brazil,3115908020202.83,211049519.0
BWA,Botswana,37660729503.208,2303703.0
BIH,Bosnia and Herzegovina,49174272558.2947,3300998.0
BOL,Bolivia,100445761200.531,11513102.0
BTN,Bhutan,9053931934.37313,763094.0
BMU,Bermuda,5228356032.22943,63913.0
BEN,Benin,38794036239.5523,11801151.0
BLZ,Belize,2830780992.36127,390351.0
BEL,Belgium,596785496111.532,11488980.0
BLR,Belarus,181605485546.401,9419758.0
BRB,Barbados,4488735151.30088,287021.0
BGD,Bangladesh,775076999200.04,163046173.0
BHR,Bahrain,74364200162.5682,1641164.0
BHS,"Bahamas, The",14189955825.2257,389486.0
AZE,Azerbaijan,144771104651.137,10024283.0
AUT,Austria,495797545261.262,8879920.0
AUS,Australia,1250762371287.89,25365745.0
ARM,Armenia,40384118258.2046,2957728.0
ARG,Argentina,991622158178.862,44938712.0
ATG,Antigua and Barbuda,2121975706.32825,97115.0
AGO,Angola,212285293091.615,31825299.0
DZA,Algeria,496056608369.486,43053054.0
ALB,Albania,38978544595.3639,2854191.0
AFG,Afghanistan,78557606648.6734,38041757.0
WLD,World,129799089714905.0,7683372259.0
UMC,Upper middle income,43670742389641.4,2510772964.0
TSS,Sub-Saharan Africa (IDA & IBRD countries),4302137251066.7,1106957870.0
SSA,Sub-Saharan Africa (excluding high income),4299446536565.38,1106860245.0
SSF,Sub-Saharan Africa,4302137251066.7,1106957870.0
TSA,South Asia (IDA & IBRD),11462499945358.8,1835776769.0
SAS,South Asia,11462499945358.8,1835776769.0
SST,Small states,848265132185.286,41254526.0
PRE,Pre-demographic dividend,3365692209217.2,944902748.0
PST,Post-demographic dividend,54736337137529.7,1112709542.0
PSS,Pacific island small states,18288379209.8929,2491878.0
OSS,Other small states,711734762936.57,31361259.0
OED,OECD members,61004405267302.9,1364841892.0
NAC,North America,22411149347504.5,365987250.0
MIC,Middle income,67075807281498.3,5796189831.0
TMN,Middle East & North Africa (IDA & IBRD countries),3956283695021.7,384771769.0
MNA,Middle East & North Africa (excluding high income),3985194228173.28,389457075.0
MEA,Middle East & North Africa,7305926887138.08,456709496.0
LMC,Lower middle income,23376436977433.7,3285416867.0
LIC,Low income,1305406773861.07,647870823.0
LMY,Low & middle income,68328876513349.2,6444060654.0
LDC,Least developed countries: UN classification,3117899961446.49,1033388868.0
TLA,Latin America & the Caribbean (IDA & IBRD countries),10066818590896.4,630644771.0
LAC,Latin America & Caribbean (excluding high income),9130496427197.96,589503742.0
LCN,Latin America & Caribbean,10370764001759.5,646430786.0
LTE,Late-demographic dividend,40050569103646.3,2308520883.0
IDA,IDA total,6177601081149.71,1670692565.0
IDX,IDA only,3430463126822.71,1109120636.0
IDB,IDA blend,2766292216812.66,561571929.0
IBT,IDA & IBRD total,70695548260785.0,6496952025.0
IBD,IBRD only,64536955125498.5,4826259460.0
HIC,High income,61113272236817.8,1210795776.0
HPC,Heavily indebted poor countries (HIPC),2084267393615.33,801708019.0
FCS,Fragile and conflict affected situations,4002548522338.21,908739462.0
EUU,European Union,19850656049450.4,447196538.0
TEC,Europe & Central Asia (IDA & IBRD countries),10639666672154.2,460788476.0
ECA,Europe & Central Asia (excluding high income),9260517765070.38,418757748.0
ECS,Europe & Central Asia,32546672408312.6,920806339.0
EMU,Euro area,16099441959069.1,342282081.0
TEA,East Asia & Pacific (IDA & IBRD countries),30107448505269.7,2078012370.0
EAP,East Asia & Pacific (excluding high income),30145300540213.8,2103705075.0
EAS,East Asia & Pacific,41487572526195.0,2350703749.0
EAR,Early-demographic dividend,30714177338147.9,3290291029.0
CEB,Central Europe and the Baltics,3342578541107.9,102398537.0
CSS,Caribbean small states,118241990038.824,7401389.0
ARB,Arab World,6111933145531.7,427870273.0
AFW,Africa Western and Central,1858840699381.04,446911598.0
AFE,Africa Eastern and Southern,2445439746687.86,660046272.0
