areaCode,areaName,areaType,date,newCasesBySpecimenDate
W06000015,Cardiff,ltla,22/05/2021,3
W06000015,Cardiff,ltla,21/05/2021,8
W06000015,Cardiff,ltla,20/05/2021,6
W06000015,Cardiff,ltla,19/05/2021,7
W06000015,Cardiff,ltla,18/05/2021,3
W06000015,Cardiff,ltla,17/05/2021,5
W06000015,Cardiff,ltla,16/05/2021,6
W06000015,Cardiff,ltla,15/05/2021,4
W06000015,Cardiff,ltla,14/05/2021,5
W06000015,Cardiff,ltla,13/05/2021,5
W06000015,Cardiff,ltla,12/05/2021,15
W06000015,Cardiff,ltla,11/05/2021,25
W06000015,Cardiff,ltla,10/05/2021,7
W06000015,Cardiff,ltla,09/05/2021,5
W06000015,Cardiff,ltla,08/05/2021,5
W06000015,Cardiff,ltla,07/05/2021,8
W06000015,Cardiff,ltla,06/05/2021,19
W06000015,Cardiff,ltla,05/05/2021,9
W06000015,Cardiff,ltla,04/05/2021,10
W06000015,Cardiff,ltla,03/05/2021,2
W06000015,Cardiff,ltla,02/05/2021,5
W06000015,Cardiff,ltla,01/05/2021,3
W06000015,Cardiff,ltla,30/04/2021,8
W06000015,Cardiff,ltla,29/04/2021,9
W06000015,Cardiff,ltla,28/04/2021,7
W06000015,Cardiff,ltla,27/04/2021,4
W06000015,Cardiff,ltla,26/04/2021,12
W06000015,Cardiff,ltla,25/04/2021,4
W06000015,Cardiff,ltla,24/04/2021,6
W06000015,Cardiff,ltla,23/04/2021,1
W06000015,Cardiff,ltla,22/04/2021,10
W06000015,Cardiff,ltla,21/04/2021,6
W06000015,Cardiff,ltla,20/04/2021,4
W06000015,Cardiff,ltla,19/04/2021,9
W06000015,Cardiff,ltla,18/04/2021,8
W06000015,Cardiff,ltla,17/04/2021,9
W06000015,Cardiff,ltla,16/04/2021,12
W06000015,Cardiff,ltla,15/04/2021,12
W06000015,Cardiff,ltla,14/04/2021,19
W06000015,Cardiff,ltla,13/04/2021,12
W06000015,Cardiff,ltla,12/04/2021,12
W06000015,Cardiff,ltla,11/04/2021,4
W06000015,Cardiff,ltla,10/04/2021,13
W06000015,Cardiff,ltla,09/04/2021,14
W06000015,Cardiff,ltla,08/04/2021,21
